"replicate","arm","all_quantile_log_rmse","extreme_quantile_log_rmse"
191,"Lognormal fit",0.797734098710543,1.24981382558462
192,"Lognormal fit",0.728087592926111,1.14130650671973
193,"Lognormal fit",0.552153080831739,0.861955853728153
194,"Lognormal fit",0.778222108155676,1.22216159531819
195,"Lognormal fit",0.92108175990477,1.4419176866759
196,"Lognormal fit",1.10964246238353,1.72270398426685
197,"Lognormal fit",0.672736790023356,1.05403039556639
198,"Lognormal fit",0.557588096121509,0.862634646417272
199,"Lognormal fit",0.517022480294615,0.800916703187863
200,"Lognormal fit",0.494690570273857,0.695811082481768
1,"Free-margin fit",0.0658564922930185,0.0760139540823929
2,"Free-margin fit",0.211181642989244,0.294265452318591
3,"Free-margin fit",0.32306616156177,0.460600203966123
4,"Free-margin fit",0.226535018815134,0.285231203018944
5,"Free-margin fit",0.172735294321915,0.246427462518229
6,"Free-margin fit",0.231963851429213,0.290569723123605
7,"Free-margin fit",0.158273408030652,0.186589571392204
8,"Free-margin fit",0.232460145859,0.058134164821681
9,"Free-margin fit",0.130301026930841,0.0571764379989731
10,"Free-margin fit",0.348737741634494,0.471921018373831
11,"Free-margin fit",0.468310579879627,0.728104302955851
12,"Free-margin fit",0.484624427339348,0.598853192560707
13,"Free-margin fit",0.0717252122309173,0.0612854061365232
14,"Free-margin fit",0.046172712648493,0.0335136119245566
15,"Free-margin fit",0.133803406027482,0.174360035284977
16,"Free-margin fit",0.645574305452092,1.00985926008301
17,"Free-margin fit",0.168755187146324,0.21891780408313
18,"Free-margin fit",0.107303292135523,0.155059826595964
19,"Free-margin fit",0.0390074225098257,0.0323147594142564
20,"Free-margin fit",0.144019096680221,0.166767045511987
21,"Free-margin fit",0.449198711921187,0.701103351031408
22,"Free-margin fit",0.597434941293595,0.898557989771579
23,"Free-margin fit",0.156452002385093,0.219946352291588
24,"Free-margin fit",0.0285163153295402,0.0403093150569153
25,"Free-margin fit",0.236281253118791,0.220941547032828
26,"Free-margin fit",0.238449975929609,0.281693014911432
27,"Free-margin fit",0.12495193313263,0.122743316171588
28,"Free-margin fit",0.44662265163599,0.60177118705625
29,"Free-margin fit",0.35152477655859,0.493032305585385
30,"Free-margin fit",0.0283148343469802,0.0318317815092503
31,"Free-margin fit",0.0191894332584299,0.0184429707995762
32,"Free-margin fit",0.860108492753096,1.3493980557418
33,"Free-margin fit",0.620604564058235,0.874071984856172
34,"Free-margin fit",0.118151635609036,0.0966349241850213
35,"Free-margin fit",0.100620134188528,0.0557824714187259
36,"Free-margin fit",0.391595661214214,0.552318054929075
37,"Free-margin fit",0.208075586708331,0.30647812286238
38,"Free-margin fit",0.25664592534517,0.356114058093193
39,"Free-margin fit",0.480158720991718,0.650454785237113
40,"Free-margin fit",0.0910180401901696,0.0663509046724921
41,"Free-margin fit",0.0727746998654258,0.10918029945698
42,"Free-margin fit",0.105257796262344,0.110299718899376
43,"Free-margin fit",0.0840283306957235,0.117851399977097
44,"Free-margin fit",0.354053018155673,0.548043940714192
45,"Free-margin fit",0.117555847056478,0.0635734262753713
