"replicate","arm_gaussian","family_gaussian","shape_gaussian","sd_gaussian","tail_probability_gaussian","V_gaussian","CL_gaussian","residual_gaussian","log_likelihood_gaussian","likelihood_mcse_gaussian","runtime_seconds_gaussian","selection_seconds_gaussian","selected_families_gaussian","retained_standard_gaussian","arm_flexible","family_flexible","shape_flexible","sd_flexible","tail_probability_flexible","V_flexible","CL_flexible","residual_flexible","log_likelihood_flexible","likelihood_mcse_flexible","runtime_seconds_flexible","selection_seconds_flexible","selected_families_flexible","retained_standard_flexible","likelihood_gain","likelihood_difference_mcse","runtime_ratio"
167,"Lognormal fit","lognormal",NA,3.02834159419767,0.11189,20.1455176645163,3.85262330058008,0.121190755973293,76.5964266746082,0.528894670596045,33.2200000000003,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",3.09699370178437,2.62702737464013,0.10614,20.3887436587582,3.88570701744658,0.121027935131751,81.5717565417464,0.522319587045578,84.1999999999998,86.1300000000001,"lognormal/gamma",FALSE,4.97532986713819,0.743335269980083,2.53461770018059
168,"Lognormal fit","lognormal",NA,3.15156337223561,0.10071,19.9282585323572,3.48103486158536,0.123947961886575,-101.865836949169,0.51321770472843,39.0700000000006,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.86297257919623,2.49148218023817,0.08186,20.1868734112242,3.51470054543692,0.123929460183251,-97.4802977582938,0.569461260011468,77.96,97.1999999999998,"lognormal/gamma",FALSE,4.38553919087562,0.766601943058174,1.99539288456613
169,"Lognormal fit","lognormal",NA,3.29317055754707,0.10362,19.9242248688058,3.36831714602303,0.121862182667649,-130.9264273074,0.487323256423959,34.9800000000005,0,"lognormal/lognormal",FALSE,"Free-margin fit","lognormal",NA,3.34287660857567,0.10392,19.9242248688058,3.36831714602303,0.121862182667649,-130.9264273074,0.487323256423959,0,262.179999999999,"lognormal/lognormal",TRUE,0,0.689179158494585,0
170,"Lognormal fit","lognormal",NA,3.01757658489341,0.09064,19.5499931704613,3.35994349893908,0.122266798115319,-134.716630933387,0.528870785978212,30.6599999999999,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.66236405317018,2.46025624847386,0.07161,19.5241797118398,3.27596066619018,0.122365015596014,-132.391030539324,0.515277104742498,57.6499999999996,72.8999999999996,"lognormal/gamma",FALSE,2.32560039406263,0.73838662158318,1.88030006523157
171,"Lognormal fit","lognormal",NA,3.08039310977905,0.10348,19.8766301870909,3.57028712419717,0.116584986509063,-11.3269497163613,0.508404090413675,41.2600000000002,0,"lognormal/lognormal",FALSE,"Free-margin fit","lognormal",NA,3.18916490009551,0.10948,20.0361775440659,3.61835602275958,0.116319028693363,-12.0412466829371,0.534818472904698,61.52,355.13,"lognormal/lognormal",FALSE,-0.714296966575722,0.73790617161633,1.49103247697527
172,"Lognormal fit","lognormal",NA,3.39017776384399,0.11364,20.0294658247951,3.49657065515567,0.118185202049082,7.61152420139346,0.519768855461773,39.8299999999999,0,"lognormal/lognormal",FALSE,"Free-margin fit","lognormal",NA,3.37615242251304,0.11277,20.0294658247951,3.49657065515567,0.118185202049082,7.61152420139346,0.519768855461773,0,323.41,"lognormal/lognormal",TRUE,0,0.73506416469318,0
173,"Lognormal fit","lognormal",NA,3.24539994089888,0.10328,20.2061027228722,3.38677703012719,0.122423521617167,-116.064613844096,0.503921820671323,33.9699999999998,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.37483117554566,2.88617863675694,0.11328,20.2842719267977,3.54025370303248,0.122419466730974,-112.605025627788,0.528776501136171,85.9200000000001,88.7199999999998,"lognormal/gamma",FALSE,3.45958821630715,0.730439449579849,2.52929055048574
174,"Lognormal fit","lognormal",NA,3.38314878319985,0.10936,20.0926857425303,3.46769711612729,0.123061020939869,-108.00507910452,0.506454531524368,39.4400000000001,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.39286046203994,2.89080874454231,0.11373,20.0824481425942,3.5674340973852,0.122937521998595,-100.066371281547,0.526387211622582,72.6599999999999,345.45,"lognormal/gamma",FALSE,7.93870782297331,0.730465392103804,1.84229208924949
175,"Lognormal fit","lognormal",NA,2.81261282044925,0.07178,19.3880542687764,3.01514644106581,0.117223819971595,-202.323566371419,0.538293048983033,36.6899999999996,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.03528891678634,2.76965455525431,0.08669,19.7922371440929,3.0353153036934,0.117299067790403,-198.146728568259,0.538994887771983,87.3100000000004,95.6599999999999,"lognormal/gamma",FALSE,4.17683780315997,0.761757767028196,2.37966748432819
176,"Lognormal fit","lognormal",NA,3.6181206872438,0.1286,19.8163131387563,3.66303342077634,0.118080011028013,57.7701540262884,0.532951563254334,37.7200000000003,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.10954842161491,3.39939055335486,0.16272,19.8244733276939,3.83702844739713,0.11802143028253,61.6226717864772,0.576571215814234,78.6000000000004,87.1499999999996,"lognormal/gamma",FALSE,3.85251776018882,0.785157140756385,2.08377518557794
