"arm","probability","CRP","lower_100","median_100","upper_100","lower_all","median_all","upper_all","change_lower","change_median","change_upper"
"flexible",0.45162893081761,30.5676618400565,2.85708753981132,2.9309274679443,3.03210931932293,2.84937875501757,2.93060928179508,3.03470706950866,-0.00770878479374959,-0.000318186149220079,0.0025977501857346
"flexible",0.457849056603774,30.944182400893,2.86498231442003,2.93895922929382,3.04060719079259,2.85729367867586,2.93882815848991,3.04340048438899,-0.007688635744171,-0.000131070803915279,0.00279329359639924
"flexible",0.464069182389937,31.323226739485,2.87285704645908,2.94699973182754,3.0491145933181,2.86521810043493,2.94680019278957,3.05210406554674,-0.00763894602415016,-0.000199539037972318,0.00298947222863877
"flexible",0.470289308176101,31.7048858767809,2.88071196704193,2.95596806114832,3.05763361260089,2.87301889652311,2.95550660886843,3.06081994717274,-0.00769307051881807,-0.000461452279895802,0.00318633457185857
"flexible",0.476509433962264,32.0892529126728,2.88857958576769,2.96581614743624,3.06616633689212,2.88014518988898,2.96504312624757,3.06955026647533,-0.00843439587871364,-0.000773021188673173,0.00338392958321343
"flexible",0.482729559748428,32.4764231756826,2.89646183351725,2.9751775571409,3.07471486055321,2.88728252436729,2.97350239335061,3.07829537239885,-0.00917930914996257,-0.00167516379028232,0.00358051184563957
"flexible",0.488949685534591,32.8664943786587,2.90436065014215,2.98417291423148,3.08328128761426,2.89443265030461,2.98144740219424,3.08704162192753,-0.00992799983753834,-0.00272551203724181,0.00376033431327372
"flexible",0.495169811320755,33.2595667811319,2.91227798775796,2.99257383833162,3.09186773534639,2.90159732699124,2.98941017672036,3.09580865992958,-0.0106806607667167,-0.00316366161126691,0.0039409245831985
"flexible",0.501389937106918,33.6557433590205,2.92021581406505,3.00099705311019,3.10047633786356,2.90877832565259,2.99739269215881,3.10459866699344,-0.0114374884124557,-0.00360436095138361,0.00412232912987509
"flexible",0.507610062893082,34.0551299824184,2.92817611571138,3.00944466953466,3.10910924976981,2.91597743247177,3.00571591640062,3.11341384497541,-0.0121986832396055,-0.00372875313403531,0.00430459520560378
