"arm","probability","CRP","lower","median","upper"
"gaussian",0.513830188679245,34.45783560225,2.81366758246847,2.88805859567822,2.99684887128943
"truth",0.513830188679245,34.45783560225,3.02009126389234,3.02009126389234,3.02009126389234
"flexible",0.520050314465409,34.8639724466324,2.94417220694133,3.0264216763299,3.12645674494596
"gaussian",0.520050314465409,34.8639724466324,2.82162509244318,2.89617087962362,3.00431823479397
"truth",0.520050314465409,34.8639724466324,3.02917759579528,3.02917759579528,3.02917759579528
"flexible",0.526270440251572,35.2736562278499,2.9518202538208,3.03495542501049,3.13517577365922
"gaussian",0.526270440251572,35.2736562278499,2.82960113446657,2.90437728657455,3.01187170246556
"truth",0.526270440251572,35.2736562278499,3.0382984330063,3.0382984330063,3.0382984330063
"flexible",0.532490566037736,35.6870063609185,2.95915358549303,3.04352229968612,3.14392801052411
"gaussian",0.532490566037736,35.6870063609185,2.83767180206319,2.91213723476921,3.01951202497009
"truth",0.532490566037736,35.6870063609185,3.04745617286237,3.04745617286237,3.04745617286237
"flexible",0.538710691823899,36.1041461947953,2.96651473939806,3.05212457092323,3.15271577004369
"gaussian",0.538710691823899,36.1041461947953,2.84584020530126,2.92047804565251,3.02724205549798
"truth",0.538710691823899,36.1041461947953,3.05665325679667,3.05665325679667,3.05665325679667
"flexible",0.544930817610063,36.5252032573823,2.97390567246892,3.06095835322985,3.16154141098366
"gaussian",0.544930817610063,36.5252032573823,2.8541095744735,2.92892154939837,3.03506475598332
"truth",0.544930817610063,36.5252032573823,3.06589217487162,3.06589217487162,3.06589217487162
"flexible",0.551150943396227,36.9503095155721,2.98132838032654,3.07022532763283,3.17060016641618
"gaussian",0.551150943396227,36.9503095155721,2.86248326742718,2.93747115982589,3.04298320373535
