"replicate","arm","quantile","time","value"
4,"truth","q50",0.5,7.58197373655724
4,"truth","q50",1,6.05096989107465
4,"truth","q50",2,3.92836790594524
4,"truth","q50",4,1.68813448818037
4,"truth","q50",8,0.306565548150483
4,"truth","q50",12,0.0557052827728727
4,"truth","q90",0.25,11.464796581399
4,"truth","q90",0.5,10.1462773962201
4,"truth","q90",1,8.08004671556735
4,"truth","q90",2,5.55451076010246
4,"truth","q90",4,2.94369364738675
4,"truth","q90",8,0.926657074380812
4,"truth","q90",12,0.301350108447867
4,"gaussian","q10",0.25,5.95849846064849
4,"gaussian","q10",0.5,5.28362533170062
4,"gaussian","q10",1,4.01941836136392
4,"gaussian","q10",2,2.09664196688003
4,"gaussian","q10",4,0.498041114042129
4,"gaussian","q10",8,0.025766877356069
4,"gaussian","q10",12,0.00128836321197993
4,"gaussian","q50",0.25,8.20971772633672
4,"gaussian","q50",0.5,7.23982882826298
4,"gaussian","q50",1,5.64273348754244
4,"gaussian","q50",2,3.4930535748483
4,"gaussian","q50",4,1.35967427471715
4,"gaussian","q50",8,0.202259969992823
4,"gaussian","q50",12,0.0298907474325018
4,"gaussian","q90",0.25,11.2563336865269
4,"gaussian","q90",0.5,9.84420963941689
4,"gaussian","q90",1,7.72030125686939
4,"gaussian","q90",2,5.14601264806445
4,"gaussian","q90",4,2.57452128972753
4,"gaussian","q90",8,0.717918536992763
4,"gaussian","q90",12,0.207990573487473
4,"flexible","q10",0.25,6.18519740758986
4,"flexible","q10",0.5,5.56775916813893
4,"flexible","q10",1,4.43465187429725
4,"flexible","q10",2,2.59519909873708
4,"flexible","q10",4,0.75076504483851
4,"flexible","q10",8,0.05678997081799
4,"flexible","q10",12,0.00420197855606074
4,"flexible","q50",0.25,8.49716179201875
4,"flexible","q50",0.5,7.59461606473196
4,"flexible","q50",1,6.05648548636941
4,"flexible","q50",2,3.91819356460848
4,"flexible","q50",4,1.68172519406976
4,"flexible","q50",8,0.303913484833614
4,"flexible","q50",12,0.0549893901373802
4,"flexible","q90",0.25,11.6212355454112
4,"flexible","q90",0.5,10.2857623990327
4,"flexible","q90",1,8.16705414623826
4,"flexible","q90",2,5.5660832697582
4,"flexible","q90",4,2.90769931623928
4,"flexible","q90",8,0.900570519061992
4,"flexible","q90",12,0.288261403187593
5,"truth","q10",0.25,6.24774377225268
5,"truth","q10",0.5,5.62323908157432
5,"truth","q10",1,4.4643676499867
5,"truth","q10",2,2.57899725097421
5,"truth","q10",4,0.733966799028824
5,"truth","q10",8,0.0543969688640314
5,"truth","q10",12,0.00392562031931134
5,"truth","q50",0.25,8.48067086584799
5,"truth","q50",0.5,7.58197373655724
5,"truth","q50",1,6.05096989107465
5,"truth","q50",2,3.92836790594524
5,"truth","q50",4,1.68813448818037
5,"truth","q50",8,0.306565548150483
5,"truth","q50",12,0.0557052827728727
5,"truth","q90",0.25,11.464796581399
5,"truth","q90",0.5,10.1462773962201
5,"truth","q90",1,8.08004671556735
5,"truth","q90",2,5.55451076010246
5,"truth","q90",4,2.94369364738675
5,"truth","q90",8,0.926657074380812
5,"truth","q90",12,0.301350108447867
5,"gaussian","q10",0.25,5.85179174300606
5,"gaussian","q10",0.5,5.22710780687913
5,"gaussian","q10",1,4.01295052762066
5,"gaussian","q10",2,2.12008469130459
5,"gaussian","q10",4,0.512963311736704
5,"gaussian","q10",8,0.0270157696441738
5,"gaussian","q10",12,0.00141999387137835
5,"gaussian","q50",0.25,7.9878012762974
5,"gaussian","q50",0.5,7.06979431972928
5,"gaussian","q50",1,5.54971051419558
5,"gaussian","q50",2,3.50195238327298
5,"gaussian","q50",4,1.40921986730964
5,"gaussian","q50",8,0.223606341935513
5,"gaussian","q50",12,0.0355189934903556
5,"gaussian","q90",0.25,10.8296266753718
5,"gaussian","q90",0.5,9.48655049272965
5,"gaussian","q90",1,7.4742661935447
5,"gaussian","q90",2,5.05728678496014
5,"gaussian","q90",4,2.63895396340879
5,"gaussian","q90",8,0.795351250424889
5,"gaussian","q90",12,0.248763218149052
5,"flexible","q10",0.25,6.05842959544685
5,"flexible","q10",0.5,5.47742096278296
5,"flexible","q10",1,4.36961696898426
5,"flexible","q10",2,2.53200680314893
5,"flexible","q10",4,0.709727489538034
5,"flexible","q10",8,0.0511522814989475
5,"flexible","q10",12,0.00359172275690224
5,"flexible","q50",0.25,8.24521502192783
5,"flexible","q50",0.5,7.37275413403009
